
	E5_03_M Magenresektionen mit komplexem Eingriff am Ösophagus, Mortalität // Gastrectomies avec OP complexe de l'œsophage, mortalité // Resezione gastrica con complesso intervento all'esofago, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	9	2	0	1	0	
	2008	10	1	1	4	0.25	
	2008	10	2	0	1	0	
	2008	11	1	0	8	0	
	2008	11	2	0	2	0	
	2008	12	1	0	8	0	
	2008	12	2	0	3	0	
	2008	13	1	1	13	0.07692308	
	2008	13	2	0	7	0	
	2008	14	1	0	12	0	
	2008	14	2	0	2	0	
	2008	15	1	2	6	0.3333333	
	2008	15	2	2	7	0.2857143	
	2008	16	1	1	8	0.125	
	2008	16	2	0	5	0	
	2008	17	1	0	2	0	
	2008	17	2	0	1	0	
	2008	18	1	0	2	0	
	2008	18	2	0	1	0	
	2009	7	1	0	1	0	
	2009	8	1	0	4	0	
	2009	9	1	0	2	0	
	2009	9	2	0	1	0	
	2009	10	1	1	6	0.1666667	
	2009	11	1	1	7	0.1428571	
	2009	11	2	0	1	0	
	2009	12	1	0	8	0	
	2009	13	1	0	11	0	
	2009	14	1	2	15	0.1333333	
	2009	14	2	0	5	0	
	2009	15	1	2	16	0.125	
	2009	15	2	0	4	0	
	2009	16	1	1	6	0.1666667	
	2009	16	2	0	3	0	
	2009	17	1	0	4	0	
	2009	17	2	0	2	0	
	2010	7	1	0	2	0	
	2010	8	1	0	2	0	
	2010	8	2	0	1	0	
	2010	9	1	0	4	0	
	2010	9	2	0	1	0	
	2010	10	1	1	4	0.25	
	2010	10	2	0	2	0	
	2010	11	1	0	6	0	
	2010	11	2	1	1	1	
	2010	12	1	1	15	0.06666667	
	2010	12	2	0	5	0	
	2010	13	1	0	22	0	
	2010	13	2	1	7	0.1428571	
	2010	14	1	0	12	0	
	2010	14	2	2	13	0.1538462	
	2010	15	1	0	11	0	
	2010	15	2	0	4	0	
	2010	16	1	0	6	0	
	2010	16	2	0	4	0	
	2010	17	1	2	6	0.3333333	
	2010	17	2	1	5	0.2	
	2010	18	1	0	1	0	
	2011	6	2	0	1	0	
	2011	8	1	0	1	0	
	2011	8	2	0	1	0	
	2011	9	1	0	1	0	
	2011	10	1	1	7	0.1428571	
	2011	10	2	0	2	0	
	2011	11	1	0	12	0	
	2011	11	2	0	9	0	
	2011	12	1	0	14	0	
	2011	12	2	0	6	0	
	2011	13	1	0	25	0	
	2011	13	2	0	6	0	
	2011	14	1	3	32	0.09375	
	2011	14	2	0	1	0	
	2011	15	1	1	15	0.06666667	
	2011	15	2	0	4	0	
	2011	16	1	1	12	0.08333333	
	2011	16	2	1	2	0.5	
	2011	17	1	1	4	0.25	
	2011	17	2	0	1	0	
	2011	18	2	0	2	0	
	2012	5	2	0	1	0	
	2012	8	2	0	2	0	
	2012	9	1	0	3	0	
	2012	9	2	0	1	0	
	2012	10	1	0	11	0	
	2012	10	2	0	1	0	
	2012	11	1	0	7	0	
	2012	11	2	0	6	0	
	2012	12	1	0	14	0	
	2012	12	2	0	5	0	
	2012	13	1	1	22	0.04545455	
	2012	13	2	0	5	0	
	2012	14	1	1	17	0.05882353	
	2012	14	2	0	3	0	
	2012	15	1	1	17	0.05882353	
	2012	15	2	1	7	0.1428571	
	2012	16	1	1	8	0.125	
	2012	16	2	1	6	0.1666667	
	2012	17	1	0	7	0	
	2012	17	2	0	1	0	
	2012	18	1	1	3	0.3333333	
	2012	18	2	0	1	0	
	2013	1	2	0	1	0	
	2013	7	1	0	1	0	
	2013	8	1	0	1	0	
	2013	9	1	0	5	0	
	2013	9	2	0	4	0	
	2013	10	1	0	5	0	
	2013	10	2	0	2	0	
	2013	11	1	0	3	0	
	2013	11	2	0	3	0	
	2013	12	1	1	18	0.05555556	
	2013	12	2	0	7	0	
	2013	13	1	0	28	0	
	2013	13	2	2	7	0.2857143	
	2013	14	1	3	20	0.15	
	2013	14	2	1	8	0.125	
	2013	15	1	2	25	0.08	
	2013	15	2	1	3	0.3333333	
	2013	16	1	4	19	0.2105263	
	2013	16	2	0	3	0	
	2013	17	1	4	8	0.5	
	2013	17	2	1	6	0.1666667	
	2013	18	1	1	2	0.5	
	2013	18	2	1	3	0.3333333	
	2013	19	2	0	1	0	
	2014	5	2	0	1	0	
	2014	7	2	0	1	0	
	2014	8	2	0	2	0	
	2014	9	1	0	4	0	
	2014	9	2	0	4	0	
	2014	10	1	1	7	0.1428571	
	2014	10	2	0	1	0	
	2014	11	1	0	6	0	
	2014	11	2	0	4	0	
	2014	12	1	1	23	0.04347826	
	2014	12	2	0	6	0	
	2014	13	1	3	16	0.1875	
	2014	13	2	0	5	0	
	2014	14	1	1	33	0.03030303	
	2014	14	2	0	10	0	
	2014	15	1	5	27	0.1851852	
	2014	15	2	1	7	0.1428571	
	2014	16	1	2	14	0.1428571	
	2014	16	2	0	5	0	
	2014	17	1	1	6	0.1666667	
	2014	17	2	0	2	0	
	2014	18	2	0	1	0	
	2015	7	2	0	1	0	
	2015	8	1	1	3	0.3333333	
	2015	9	1	1	4	0.25	
	2015	9	2	0	1	0	
	2015	10	1	0	5	0	
	2015	10	2	0	4	0	
	2015	11	1	0	15	0	
	2015	11	2	0	4	0	
	2015	12	1	0	14	0	
	2015	12	2	0	4	0	
	2015	13	1	2	29	0.06896552	
	2015	13	2	2	7	0.2857143	
	2015	14	1	1	19	0.05263158	
	2015	14	2	0	14	0	
	2015	15	1	2	26	0.07692308	
	2015	15	2	1	4	0.25	
	2015	16	1	3	12	0.25	
	2015	16	2	1	4	0.25	
	2015	17	1	0	4	0	
	2015	17	2	0	5	0	
	2015	18	1	0	1	0	
	2016	7	1	0	2	0	
	2016	7	2	0	1	0	
	2016	8	1	0	4	0	
	2016	8	2	0	1	0	
	2016	9	1	0	5	0	
	2016	10	1	0	8	0	
	2016	10	2	0	4	0	
	2016	11	1	0	16	0	
	2016	11	2	0	6	0	
	2016	12	1	0	19	0	
	2016	12	2	0	5	0	
	2016	13	1	1	24	0.04166667	
	2016	13	2	0	3	0	
	2016	14	1	0	23	0	
	2016	14	2	0	12	0	
	2016	15	1	0	28	0	
	2016	15	2	1	7	0.1428571	
	2016	16	1	4	20	0.2	
	2016	16	2	0	3	0	
	2016	17	1	1	3	0.3333333	
	2016	17	2	0	2	0	
	2016	18	1	0	3	0	
	2017	6	1	0	1	0	
	2017	6	2	0	1	0	
	2017	7	2	0	1	0	
	2017	9	1	0	1	0	
	2017	10	1	1	13	0.07692308	
	2017	10	2	0	1	0	
	2017	11	1	0	14	0	
	2017	11	2	0	5	0	
	2017	12	1	0	10	0	
	2017	12	2	0	1	0	
	2017	13	1	0	22	0	
	2017	13	2	0	7	0	
	2017	14	1	1	23	0.04347826	
	2017	14	2	0	5	0	
	2017	15	1	0	20	0	
	2017	15	2	0	9	0	
	2017	16	1	2	12	0.1666667	
	2017	16	2	0	3	0	
	2017	17	1	2	8	0.25	
	2017	17	2	0	3	0	
	2017	18	1	0	2	0	
	2017	18	2	0	1	0	
	2018	2	1	0	1	0	
	2018	6	1	0	1	0	
	2018	7	1	0	1	0	
	2018	8	1	0	1	0	
	2018	9	2	0	2	0	
	2018	10	1	0	4	0	
	2018	10	2	0	1	0	
	2018	11	1	0	8	0	
	2018	11	2	0	2	0	
	2018	12	1	2	26	0.07692308	
	2018	12	2	0	6	0	
	2018	13	1	0	36	0	
	2018	13	2	0	6	0	
	2018	14	1	0	28	0	
	2018	14	2	0	7	0	
	2018	15	1	1	28	0.03571429	
	2018	15	2	1	9	0.1111111	
	2018	16	1	1	18	0.05555556	
	2018	16	2	0	7	0	
	2018	17	1	0	8	0	
	2018	17	2	0	1	0	
	2018	18	1	0	2	0	
	2019	7	1	0	1	0	
	2019	7	2	0	1	0	
	2019	8	1	0	2	0	
	2019	8	2	0	1	0	
	2019	9	1	0	3	0	
	2019	9	2	0	4	0	
	2019	10	1	0	5	0	
	2019	10	2	0	2	0	
	2019	11	1	2	19	0.1052632	
	2019	11	2	0	4	0	
	2019	12	1	2	15	0.1333333	
	2019	12	2	1	7	0.1428571	
	2019	13	1	0	13	0	
	2019	13	2	1	11	0.09090909	
	2019	14	1	0	24	0	
	2019	14	2	1	8	0.125	
	2019	15	1	2	36	0.05555556	
	2019	15	2	0	12	0	
	2019	16	1	2	25	0.08	
	2019	16	2	0	12	0	
	2019	17	1	1	7	0.1428571	
	2019	17	2	0	2	0	
	2019	18	1	1	2	0.5	
	2019	18	2	0	1	0	
